window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
baseline_oct_mar,2024-2025,Colorado,3428.0,3056.0,0.8914819136522754,0.10851808634772464,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Colorado,3428.0,3056.0,0.8914819136522754,0.10851808634772464,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Colorado,3428.0,3328.0,0.970828471411902,0.029171528588098017,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Connecticut,1849.0,1744.0,0.9432125473228772,0.05678745267712282,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Connecticut,1849.0,1744.0,0.9432125473228772,0.05678745267712282,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Connecticut,1849.0,1810.0,0.9789075175770687,0.02109248242293127,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Delaware,1039.0,999.0,0.9615014436958614,0.038498556304138565,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Delaware,1039.0,999.0,0.9615014436958614,0.038498556304138565,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Delaware,1039.0,1022.0,0.983638113570741,0.016361886429258954,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,District of Columbia,134.0,131.0,0.9776119402985075,0.02238805970149249,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,District of Columbia,134.0,131.0,0.9776119402985075,0.02238805970149249,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,District of Columbia,134.0,134.0,1.0,0.0,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Florida,11200.0,10001.0,0.8929464285714286,0.10705357142857141,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Florida,11200.0,10002.0,0.8930357142857143,0.10696428571428573,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Florida,11200.0,10514.0,0.93875,0.06125000000000003,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Georgia,5273.0,5055.0,0.9586573108287503,0.041342689171249725,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Georgia,5273.0,5055.0,0.9586573108287503,0.041342689171249725,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Georgia,5273.0,5163.0,0.9791390100512043,0.020860989948795705,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Hawaii,510.0,445.0,0.8725490196078431,0.12745098039215685,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Hawaii,510.0,446.0,0.8745098039215686,0.12549019607843137,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Hawaii,510.0,468.0,0.9176470588235294,0.08235294117647063,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Idaho,989.0,871.0,0.8806875631951466,0.11931243680485337,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Idaho,989.0,871.0,0.8806875631951466,0.11931243680485337,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Idaho,989.0,958.0,0.9686552072800809,0.03134479271991908,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Illinois,7647.0,7095.0,0.9278148293448412,0.07218517065515884,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Illinois,7647.0,7096.0,0.9279455995815352,0.07205440041846478,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Illinois,7647.0,7516.0,0.9828690989930692,0.01713090100693082,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Indiana,3470.0,3223.0,0.9288184438040346,0.07118155619596545,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Indiana,3470.0,3223.0,0.9288184438040346,0.07118155619596545,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Indiana,3470.0,3386.0,0.975792507204611,0.02420749279538903,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Iowa,1577.0,1334.0,0.8459099556119214,0.1540900443880786,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Iowa,1577.0,1334.0,0.8459099556119214,0.1540900443880786,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Iowa,1577.0,1440.0,0.9131261889663919,0.08687381103360814,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Kansas,1417.0,1283.0,0.9054340155257586,0.09456598447424136,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Kansas,1417.0,1283.0,0.9054340155257586,0.09456598447424136,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Kansas,1417.0,1372.0,0.9682427664079041,0.031757233592095924,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Kentucky,2751.0,2429.0,0.8829516539440203,0.11704834605597969,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Kentucky,2751.0,2429.0,0.8829516539440203,0.11704834605597969,"RSV hospital admissions, all ages"
