jurisdiction,n_seasons_available,cv_outside_fraction,outside_fraction_2324,outside_fraction_2425,outside_fraction_2526,rank_corr_2324_vs_2425,rank_corr_2425_vs_2526
Pennsylvania,3,0.5246779085434675,0.034565916398713835,0.058978873239436624,0.1021566401816118,0.29824729891956775,0.807250900360144
Rhode Island,3,0.5236899972894511,0.04170212765957447,0.04966887417218544,0.10450623202301057,0.29824729891956775,0.807250900360144
South Carolina,3,0.27754537214370334,0.10243553008595987,0.07244094488188978,0.060165975103734455,0.29824729891956775,0.807250900360144
South Dakota,3,0.31566792386473175,0.11979166666666664,0.1713100177830468,0.22923076923076927,0.29824729891956775,0.807250900360144
Tennessee,3,0.22096631719315832,0.09969167523124359,0.06614077669902911,0.10053859964093356,0.29824729891956775,0.807250900360144
Texas,3,0.26257105712958384,0.112493239588967,0.06777713957495692,0.0814814814814815,0.29824729891956775,0.807250900360144
Utah,3,0.5650224151969758,0.04994511525795827,0.07836570663094442,0.15233644859813084,0.29824729891956775,0.807250900360144
Vermont,3,0.6964072735129735,0.04001952171791118,0.10856372218476062,0.20225563909774438,0.29824729891956775,0.807250900360144
Virginia,3,0.12235405048307187,0.08352849336455895,0.07671721677074042,0.0973360655737705,0.29824729891956775,0.807250900360144
Washington,3,0.4945031144845492,0.04009720534629404,0.07937584803256445,0.11857379767827529,0.29824729891956775,0.807250900360144
West Virginia,3,0.6059452212982566,0.03848821081830791,0.14482758620689648,0.17849462365591398,0.29824729891956775,0.807250900360144
Wisconsin,3,0.6046736732980283,0.05237808549066827,0.0968681718863802,0.18462980318650424,0.29824729891956775,0.807250900360144
Wyoming,3,0.3206036515864445,0.12883804936785068,0.15722851432378415,0.23660346248969497,0.29824729891956775,0.807250900360144
