season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,age_group,age_group_label,metric_label
2024-2025,Pennsylvania,3665.0,3515.0,150.0,0.040927694406548434,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Rhode Island,306.0,301.0,5.0,0.016339869281045753,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,South Carolina,877.0,826.0,51.0,0.05815279361459521,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,South Dakota,261.0,215.0,46.0,0.17624521072796934,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Tennessee,1531.0,1456.0,75.0,0.04898758981058132,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Texas,7471.0,7190.0,281.0,0.0376121001204658,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Utah,1497.0,1406.0,91.0,0.06078824315297261,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Vermont,62.0,56.0,6.0,0.0967741935483871,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Virginia,764.0,729.0,35.0,0.04581151832460733,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Washington,494.0,464.0,30.0,0.06072874493927125,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,West Virginia,655.0,570.0,85.0,0.1297709923664122,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Wisconsin,907.0,846.0,61.0,0.06725468577728776,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Wyoming,270.0,238.0,32.0,0.11851851851851852,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Alabama,696.0,620.0,76.0,0.10919540229885058,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Alaska,78.0,63.0,15.0,0.19230769230769232,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Arizona,652.0,561.0,91.0,0.13957055214723926,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Arkansas,600.0,556.0,44.0,0.07333333333333333,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,California,2959.0,2633.0,326.0,0.11017235552551538,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Colorado,1439.0,1314.0,125.0,0.08686587908269632,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Connecticut,382.0,356.0,26.0,0.06806282722513089,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Delaware,385.0,381.0,4.0,0.01038961038961039,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,District of Columbia,8.0,7.0,1.0,0.125,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Florida,3650.0,3001.0,649.0,0.1778082191780822,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Georgia,1844.0,1706.0,138.0,0.07483731019522777,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Hawaii,205.0,182.0,23.0,0.11219512195121951,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Idaho,255.0,237.0,18.0,0.07058823529411765,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Illinois,1480.0,1345.0,135.0,0.09121621621621621,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Indiana,927.0,837.0,90.0,0.0970873786407767,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Iowa,553.0,493.0,60.0,0.10849909584086799,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Kansas,403.0,364.0,39.0,0.0967741935483871,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Kentucky,476.0,431.0,45.0,0.09453781512605042,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Louisiana,1085.0,1036.0,49.0,0.04516129032258064,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Maine,55.0,47.0,8.0,0.14545454545454545,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Maryland,523.0,489.0,34.0,0.06500956022944551,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Massachusetts,1116.0,980.0,136.0,0.12186379928315412,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Michigan,1341.0,1170.0,171.0,0.12751677852348994,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Minnesota,1090.0,962.0,128.0,0.11743119266055047,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Mississippi,429.0,418.0,11.0,0.02564102564102564,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Missouri,650.0,588.0,62.0,0.09538461538461539,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Montana,162.0,123.0,39.0,0.24074074074074073,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Nebraska,310.0,266.0,44.0,0.14193548387096774,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Nevada,458.0,434.0,24.0,0.05240174672489083,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New Hampshire,103.0,100.0,3.0,0.02912621359223301,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New Jersey,1590.0,1498.0,92.0,0.05786163522012579,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New Mexico,618.0,558.0,60.0,0.0970873786407767,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New York,3530.0,3197.0,333.0,0.0943342776203966,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,North Carolina,1365.0,1275.0,90.0,0.06593406593406594,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,North Dakota,162.0,113.0,49.0,0.30246913580246915,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Ohio,2093.0,1958.0,135.0,0.06450071667462971,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
