window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
late_oct_apr,2025-2026,District of Columbia,8.92,8.260000000000002,0.9260089686098657,0.0739910313901343,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Florida,13.08,10.43,0.7974006116207951,0.20259938837920488,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Florida,13.08,11.0,0.8409785932721713,0.15902140672782872,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Florida,13.08,11.139999999999999,0.8516819571865443,0.14831804281345573,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Georgia,9.889999999999999,8.73,0.8827098078867545,0.11729019211324554,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Georgia,9.889999999999999,8.9,0.8998988877654197,0.10010111223458029,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Georgia,9.889999999999999,9.200000000000003,0.9302325581395353,0.06976744186046469,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Hawaii,14.27,10.120000000000001,0.7091800981079188,0.2908199018920812,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Hawaii,14.27,10.46,0.7330063069376315,0.26699369306236853,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Hawaii,14.27,11.66,0.8170988086895585,0.18290119131044147,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Idaho,10.549999999999999,8.370000000000001,0.7933649289099528,0.2066350710900472,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Idaho,10.549999999999999,8.44,0.8,0.19999999999999996,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Idaho,10.549999999999999,9.73,0.9222748815165878,0.07772511848341224,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Illinois,14.659999999999998,12.6,0.8594815825375172,0.14051841746248284,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Illinois,14.659999999999998,12.68,0.8649386084583902,0.1350613915416098,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Illinois,14.659999999999998,13.99,0.9542974079126877,0.04570259208731231,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Indiana,10.86,8.860000000000001,0.8158379373848988,0.18416206261510115,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Indiana,10.86,8.93,0.8222836095764273,0.17771639042357268,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Indiana,10.86,10.11,0.930939226519337,0.06906077348066297,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Iowa,15.64,12.95,0.828005115089514,0.17199488491048598,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Iowa,15.64,12.999999999999998,0.8312020460358055,0.1687979539641945,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Iowa,15.64,15.11,0.9661125319693094,0.03388746803069065,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Kansas,10.159999999999998,8.59,0.845472440944882,0.15452755905511795,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Kansas,10.159999999999998,8.69,0.8553149606299213,0.1446850393700787,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Kansas,10.159999999999998,9.61,0.9458661417322836,0.05413385826771644,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Kentucky,14.92,12.05,0.8076407506702413,0.19235924932975867,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Kentucky,14.92,12.16,0.8150134048257373,0.18498659517426275,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Kentucky,14.92,13.530000000000001,0.9068364611260055,0.09316353887399453,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Louisiana,11.200000000000001,9.96,0.8892857142857142,0.11071428571428577,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Louisiana,11.200000000000001,10.05,0.8973214285714286,0.1026785714285714,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Louisiana,11.200000000000001,10.54,0.9410714285714284,0.05892857142857155,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Maine,8.07,4.6,0.5700123915737298,0.42998760842627015,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Maine,8.07,4.73,0.5861214374225527,0.41387856257744726,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Maine,8.07,6.9399999999999995,0.8599752168525402,0.1400247831474598,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Maryland,12.0,10.719999999999999,0.8933333333333332,0.1066666666666668,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Maryland,12.0,10.819999999999999,0.9016666666666665,0.0983333333333335,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Maryland,12.0,11.38,0.9483333333333334,0.05166666666666664,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Massachusetts,14.399999999999999,12.23,0.8493055555555556,0.15069444444444435,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Massachusetts,14.399999999999999,12.330000000000002,0.8562500000000002,0.14374999999999982,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Massachusetts,14.399999999999999,13.639999999999999,0.9472222222222222,0.05277777777777781,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Michigan,11.639999999999999,8.72,0.7491408934707905,0.2508591065292095,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Michigan,11.639999999999999,8.750000000000002,0.7517182130584195,0.24828178694158054,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Michigan,11.639999999999999,10.770000000000001,0.9252577319587632,0.07474226804123685,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Minnesota,13.179999999999998,10.219999999999999,0.7754172989377845,0.22458270106221545,"RSV ED visit percentage of total ED visits, all ages"
