datasource,metric_label,season,jurisdiction,window_name,window_label,n_birth_cohorts,n_cohort_schedule_rows,share_receiving_ppx,median_person_activity_fractional_protection,q25_person_activity_fractional_protection,q75_person_activity_fractional_protection,mean_person_activity_fractional_protection,population_activity_weighted_protection,median_person_calendar_fractional_protection,mean_person_calendar_fractional_protection,total_activity_exposure_weight,uptake,efficacy_profile,protection_delay_days,protection_duration_days,eligibility_max_age_days,exposure_censor_age_days,birth_weight_scheme,allow_window_start_catchup
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Delaware,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.1244952457057506,0.0,0.14562086806242797,0.08612629703330978,0.13629219778358692,0.08150898523304106,0.07179358284090202,63.01931034482757,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Delaware,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.09665772970524471,0.0,0.13973802674452154,0.0781724984655016,0.11639586229876783,0.07420916120218579,0.07021419769078599,63.01931034482758,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Delaware,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,63.01931034482758,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,District of Columbia,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.07755890689815235,0.0,0.12535802666204507,0.06690972372956765,0.09954371825872912,0.057699030494821626,0.06363802472062328,55.79546798029556,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,District of Columbia,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.11306105760109073,0.0,0.14206818051073153,0.08267186885096549,0.1281534105751738,0.08150898523304106,0.07179358284090202,55.79546798029556,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,District of Columbia,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.08723562646294038,0.0,0.12852754658739954,0.07264072336228451,0.09974939977035646,0.07420916120218579,0.07021419769078599,55.795467980295555,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,District of Columbia,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,55.79546798029556,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Florida,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.06998149203317532,0.0,0.11543654763014762,0.06324116941539999,0.08410336257226256,0.057699030494821626,0.06363802472062328,38.29077175697866,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Florida,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.10467423920429854,0.0,0.1313835602709077,0.07840853622128018,0.11265195707052104,0.08150898523304106,0.07179358284090202,38.29077175697866,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Florida,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.08620992271326425,0.0,0.11968197167388851,0.06943755224388792,0.08464669748574796,0.07420916120218579,0.07021419769078599,38.29077175697866,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Florida,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,38.29077175697866,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Georgia,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.07734454646404246,0.0,0.11868835458783641,0.06457742822748347,0.0899411902111066,0.057699030494821626,0.06363802472062328,30.105353037766832,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Georgia,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.10871800786760889,0.0,0.13812501966634166,0.08116393323323824,0.12094589614974778,0.08150898523304106,0.07179358284090202,30.105353037766832,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Georgia,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.08850416749455026,0.0,0.12242341357087017,0.07058512604683839,0.0903876566335043,0.07420916120218579,0.07021419769078599,30.10535303776683,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Georgia,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,30.105353037766825,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Hawaii,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.08624912542129588,0.0,0.12740304663851929,0.0698370385575499,0.10878339768229955,0.057699030494821626,0.06363802472062328,31.37142857142857,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Hawaii,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.11694302632695572,0.0,0.14145335150143967,0.08319896289174829,0.12924096773703614,0.08150898523304106,0.07179358284090202,31.37142857142857,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Hawaii,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.09672762198048866,0.0,0.1305866486102681,0.07596521408222096,0.10915238656332985,0.07420916120218579,0.07021419769078599,31.371428571428567,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Hawaii,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,31.37142857142857,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Idaho,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.12752930647234384,0.0,0.14494667145523749,0.0820354947989996,0.13750132221978245,0.057699030494821626,0.06363802472062328,42.29333333333334,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Idaho,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.13174532966739574,0.0,0.1451107884576222,0.08877348574633678,0.13835201674150155,0.08150898523304106,0.07179358284090202,42.29333333333332,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Idaho,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.1317278078836435,0.0,0.14498119697225065,0.08746566663220418,0.1381970872157146,0.07420916120218579,0.07021419769078599,42.29333333333333,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Idaho,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,42.29333333333333,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Illinois,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.10461116229812263,0.0,0.14088526296529616,0.0765747358065154,0.12683380775278183,0.057699030494821626,0.06363802472062328,52.1735303776683,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Illinois,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12939770783438787,0.0,0.14521851632948854,0.08683530155945612,0.13710194369303905,0.08150898523304106,0.07179358284090202,52.1735303776683,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Illinois,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.11034214919012762,0.0,0.14205005316690675,0.0819723876023603,0.12724151380287782,0.07420916120218579,0.07021419769078599,52.1735303776683,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Illinois,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,52.1735303776683,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Indiana,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.10646538513947304,0.0,0.14072440729642277,0.07671523871650965,0.12800262828449208,0.057699030494821626,0.06363802472062328,39.43665024630541,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Indiana,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12780810563859696,0.0,0.1448993373634046,0.08636368216943636,0.13710361228438173,0.08150898523304106,0.07179358284090202,39.43665024630542,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Indiana,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.11179417986227065,0.0,0.14146981450480028,0.08191522421239786,0.12831398111438433,0.07420916120218579,0.07021419769078599,39.43665024630542,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Indiana,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,39.43665024630542,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Iowa,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.11927594497095183,0.0,0.14294589594156584,0.08009482439777965,0.13438525454679556,0.057699030494821626,0.06363802472062328,69.62614121510674,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Iowa,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12065326868541135,0.0,0.14354571953587225,0.08649334678819853,0.13668564704921754,0.08150898523304106,0.07179358284090202,69.62614121510673,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Iowa,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.12267569017077319,0.0,0.14305987731775016,0.08494874514278002,0.13489845694520658,0.07420916120218579,0.07021419769078599,69.62614121510673,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Iowa,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,69.62614121510674,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kansas,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.12209257615090384,0.0,0.1448531065347164,0.08140690683340789,0.13663080740570258,0.057699030494821626,0.06363802472062328,40.666666666666664,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kansas,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12398741341204038,0.0,0.14456538715955347,0.08722916516538841,0.1380285552810105,0.08150898523304106,0.07179358284090202,40.666666666666664,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kansas,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.1268736509704701,0.0,0.145138276516148,0.08694876294531236,0.13717818887823602,0.07420916120218579,0.07021419769078599,40.666666666666664,0.185,piecewise_linear,6,210,244,244,uniform,False
