week_end,jurisdiction,rsv_ped_total,rsv_total,rsv_ped_0_4,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2024-07-20,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-07-20,Maryland,,,,2024-2025,False,MD,3,False,False
2024-07-20,Maine,,,,2024-2025,False,ME,1,False,False
2024-07-20,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-07-20,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-07-20,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-07-20,South Carolina,,,,2024-2025,False,SC,4,True,False
2024-07-20,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-07-20,Utah,,,,2024-2025,False,UT,8,False,False
2024-07-20,Alaska,,,,2024-2025,False,AK,10,False,False
2024-07-20,Arizona,0.0,0.0,,2024-2025,False,AZ,9,False,False
2024-07-20,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-07-20,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-07-20,Delaware,0.0,2.0,,2024-2025,False,DE,3,False,False
2024-07-20,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-07-20,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
2024-07-20,District of Columbia,0.0,0.0,,2024-2025,False,DC,3,False,False
2024-07-20,Kansas,0.0,0.0,,2024-2025,False,KS,7,False,False
2024-07-20,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-07-20,Nevada,,,,2024-2025,False,NV,9,False,False
2024-07-20,Washington,0.0,0.0,,2024-2025,False,WA,10,False,False
2024-07-20,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-07-20,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-07-20,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
2024-07-20,Idaho,,,,2024-2025,False,ID,10,False,False
2024-07-20,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-07-20,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-07-20,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-07-20,New Jersey,0.0,0.0,,2024-2025,False,NJ,2,False,False
2024-07-20,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-07-20,Oregon,,,,2024-2025,False,OR,10,False,False
2024-07-20,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-07-20,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-07-20,California,0.0,0.0,,2024-2025,False,CA,9,False,False
2024-07-20,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-07-20,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-07-20,Wisconsin,,,,2024-2025,False,WI,5,False,False
2024-07-20,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-07-20,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-07-20,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-07-20,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-07-20,Louisiana,0.0,0.0,,2024-2025,False,LA,6,True,False
2024-07-20,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-07-20,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-07-20,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-07-20,West Virginia,,,,2024-2025,False,WV,3,False,False
2024-07-27,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-07-27,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-07-27,Pennsylvania,0.0,0.0,,2024-2025,False,PA,3,False,False
2024-07-27,Vermont,,,,2024-2025,False,VT,1,False,False
2024-07-27,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-07-27,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-07-27,Maryland,,,,2024-2025,False,MD,3,False,False
2024-07-27,Maine,,,,2024-2025,False,ME,1,False,False
2024-07-27,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-07-27,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-07-27,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-07-27,South Carolina,,,,2024-2025,False,SC,4,True,False
2024-07-27,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-07-27,Utah,,,,2024-2025,False,UT,8,False,False
2024-07-27,Alaska,,,,2024-2025,False,AK,10,False,False
2024-07-27,Arizona,0.0,1.0,,2024-2025,False,AZ,9,False,False
2024-07-27,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-07-27,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-07-27,Delaware,0.0,0.0,,2024-2025,False,DE,3,False,False
2024-07-27,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-07-27,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
2024-07-27,District of Columbia,0.0,0.0,,2024-2025,False,DC,3,False,False
2024-07-27,Kansas,0.0,0.0,,2024-2025,False,KS,7,False,False
2024-07-27,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-07-27,Nevada,,,,2024-2025,False,NV,9,False,False
2024-07-27,Washington,0.0,1.0,,2024-2025,False,WA,10,False,False
2024-07-27,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-07-27,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-07-27,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
2024-07-27,Idaho,,,,2024-2025,False,ID,10,False,False
2024-07-27,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-07-27,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-07-27,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-07-27,New Jersey,,,,2024-2025,False,NJ,2,False,False
2024-07-27,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-07-27,Oregon,,,,2024-2025,False,OR,10,False,False
2024-07-27,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-07-27,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-07-27,California,0.0,0.0,,2024-2025,False,CA,9,False,False
2024-07-27,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-07-27,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-07-27,Wisconsin,,,,2024-2025,False,WI,5,False,False
2024-07-27,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-07-27,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-07-27,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-07-27,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-07-27,Louisiana,0.0,0.0,,2024-2025,False,LA,6,True,False
2024-07-27,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-07-27,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-07-27,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-07-27,West Virginia,,,,2024-2025,False,WV,3,False,False
2024-08-03,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-08-03,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-08-03,Pennsylvania,0.0,0.0,,2024-2025,False,PA,3,False,False
2024-08-03,Vermont,,,,2024-2025,False,VT,1,False,False
2024-08-03,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-08-03,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-08-03,Maryland,,,,2024-2025,False,MD,3,False,False
2024-08-03,Maine,,,,2024-2025,False,ME,1,False,False
2024-08-03,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-08-03,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-08-03,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-08-03,South Carolina,,,,2024-2025,False,SC,4,True,False
2024-08-03,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-08-03,Utah,,,,2024-2025,False,UT,8,False,False
2024-08-03,Alaska,,,,2024-2025,False,AK,10,False,False
2024-08-03,Arizona,0.0,0.0,,2024-2025,False,AZ,9,False,False
2024-08-03,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-08-03,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-08-03,Delaware,0.0,0.0,,2024-2025,False,DE,3,False,False
2024-08-03,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-08-03,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
2024-08-03,District of Columbia,,,,2024-2025,False,DC,3,False,False
2024-08-03,Kansas,0.0,0.0,,2024-2025,False,KS,7,False,False
2024-08-03,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-08-03,Nevada,,,,2024-2025,False,NV,9,False,False
2024-08-03,Washington,0.0,0.0,,2024-2025,False,WA,10,False,False
2024-08-03,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-08-03,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-08-03,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
2024-08-03,Idaho,0.0,0.0,,2024-2025,False,ID,10,False,False
2024-08-03,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-08-03,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-08-03,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-08-03,New Jersey,,,,2024-2025,False,NJ,2,False,False
2024-08-03,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-08-03,Oregon,,,,2024-2025,False,OR,10,False,False
2024-08-03,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-08-03,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-08-03,California,0.0,0.0,,2024-2025,False,CA,9,False,False
2024-08-03,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-08-03,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-08-03,Wisconsin,,,,2024-2025,False,WI,5,False,False
2024-08-03,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-08-03,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-08-03,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-08-03,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-08-03,Louisiana,0.0,0.0,,2024-2025,False,LA,6,True,False
2024-08-03,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-08-03,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-08-03,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-08-03,West Virginia,,,,2024-2025,False,WV,3,False,False
